title,date,link,badge
114學年度資訊系所(含資訊所、醫資所、人工智慧學程)碩士甄試新生報到事宜(含正備取),2024.11.18,https://www.csie.ncku.edu.tw/zh-hant/news/12974,重要
113下直升博士已開始接受申請，申請至12/2(一)止,2024.11.11,https://www.csie.ncku.edu.tw/zh-hant/news/12967,重要
(10/29更新因應颱風假)114學年度資訊系所(含資訊所、醫資所、人工智慧學程)碩博士班甄試面試時間表及注意事項,2024.10.23,https://www.csie.ncku.edu.tw/zh-hant/news/12954,研究所
114學年度資訊系所(含資訊所、醫資所、人工智慧學程)碩博士班甄試第一階段錄取名單,2024.10.22,https://www.csie.ncku.edu.tw/zh-hant/news/12953,研究所
[研究所招生]成功大學製造資訊與系統研究所114學年度碩士班甄試招生,2024.09.27,https://www.csie.ncku.edu.tw/zh-hant/news/12930,碩士
(推甄務必填寫)成大資工系/醫資所/人工智慧學程 114學年度 碩士 推甄考生資料登錄系統,2024.09.26,https://www.csie.ncku.edu.tw/zh-hant/news/12929,研究所
(推甄)成大資工系114學年度 博士 推甄考生資料登錄系統,2024.09.25,https://www.csie.ncku.edu.tw/zh-hant/news/12927,博士
(9/16更新)113學年度資訊所/醫資所老師可收碩班新生名單,2024.09.03,https://www.csie.ncku.edu.tw/zh-hant/news/12900,碩士
【7/12更新】113學年度資訊所/醫資所老師可收碩班新生名單(含指導教授同意書)與新生報到注意事項,2023.11.22,https://www.csie.ncku.edu.tw/zh-hant/news/12609,研究所
【開始招生】113學年度資訊工程學系人工智慧與資訊系統碩士在職專班學分班(隨班附讀)招生簡章(8/12截止),2024.06.18,https://www.csie.ncku.edu.tw/zh-hant/news/12829,研究所
